Date,Open,High,Low,Close,Volume,Open.Interest
30-01-2018 10:36:00,11073.1,11076.1,11072,11072.95,14775,26013675
30-01-2018 10:37:00,11072.95,11073.95,11070.5,11070.8,14700,26013675
30-01-2018 10:38:00,11070.8,11073.9,11070.1,11071,16050,26025225
30-01-2018 10:39:00,11071,11074.8,11070.2,11074.75,11100,26025225
30-01-2018 10:40:00,11074.8,11079.95,11074.8,11076.65,12225,26025225
30-01-2018 10:41:00,11078,11079.95,11077.8,11079.9,14025,26028150
30-01-2018 10:42:00,11079.9,11082,11079.9,11082,5625,26028150
30-01-2018 10:43:00,11082,11082.4,11076.95,11077,14925,26028150
30-01-2018 10:44:00,11076,11078,11074.75,11076.75,14850,26033400
30-01-2018 10:45:00,11076.75,11078,11075.65,11076,4950,26033400
30-01-2018 10:46:00,11076,11079,11076,11078,5325,26033400
30-01-2018 10:47:00,11078,11079.3,11076,11076.05,4800,26036625
30-01-2018 10:48:00,11077,11080,11077,11080,6750,26036625
30-01-2018 10:49:00,11079.3,11079.65,11076.6,11079.45,5100,26036625
30-01-2018 10:50:00,11079.45,11079.45,11077.85,11078.55,3225,26036625
30-01-2018 10:51:00,11078.65,11080.4,11078.65,11080.4,10200,26036625
30-01-2018 10:52:00,11080,11082,11080,11081.7,5250,26036625
30-01-2018 10:53:00,11081.7,11081.7,11078.45,11079.95,4425,26042775
30-01-2018 10:54:00,11078.8,11079.95,11078.5,11078.6,5100,26042775
30-01-2018 10:55:00,11078.6,11078.6,11073,11073,9000,26042775
30-01-2018 10:56:00,11073.95,11074.9,11072.2,11074,7425,26046075
30-01-2018 10:57:00,11074.4,11075.3,11073,11075.3,4350,26046075
30-01-2018 10:58:00,11075.3,11076.9,11074.65,11075.95,5250,26046075
30-01-2018 10:59:00,11075.95,11077.6,11073.3,11075.05,17850,26052300
30-01-2018 11:00:00,11075.05,11075.05,11072.05,11073.9,14025,26052300
30-01-2018 11:01:00,11073.9,11074.9,11071.4,11073.65,6900,26052300
30-01-2018 11:02:00,11073.65,11075.4,11073,11075,7275,26069625
30-01-2018 11:03:00,11074,11076.95,11071.65,11073,13650,26069625
30-01-2018 11:04:00,11071.95,11076.9,11071.95,11076.1,10575,26069625
30-01-2018 11:05:00,11076.9,11078.55,11076,11078.05,12000,26078700
30-01-2018 11:06:00,11078.05,11078.55,11076.5,11077,11400,26078700
30-01-2018 11:07:00,11077,11078.15,11074.75,11075.5,11925,26078700
30-01-2018 11:08:00,11075.7,11077,11075,11076.6,8025,26086650
30-01-2018 11:09:00,11076.6,11077.7,11074,11075.55,10950,26086650
30-01-2018 11:10:00,11075.55,11078.25,11075.55,11077.55,9825,26086650
30-01-2018 11:11:00,11077.7,11080,11077.7,11080,7575,26094525
30-01-2018 11:12:00,11080.15,11080.55,11078.1,11079.2,7425,26094525
30-01-2018 11:13:00,11079.2,11079.95,11076.6,11079.95,22650,26094525
30-01-2018 11:14:00,11079.95,11080.9,11078.2,11079.95,11400,26112450
30-01-2018 11:15:00,11079.95,11080,11077.05,11078.9,5325,26112450
30-01-2018 11:16:00,11079.75,11080,11078.55,11079.7,17625,26112450
30-01-2018 11:17:00,11079,11079.45,11077.2,11078.3,7575,26120025
30-01-2018 11:18:00,11078.3,11078.3,11073.6,11075.95,14700,26120025
30-01-2018 11:19:00,11075.5,11078.4,11075,11078,14850,26120025
30-01-2018 11:20:00,11078,11080.9,11078,11079,19200,26146050
30-01-2018 11:21:00,11079.05,11080.5,11078.5,11079.9,6300,26146050
30-01-2018 11:22:00,11078.55,11080.95,11078.55,11080,6300,26146050
30-01-2018 11:23:00,11080,11085,11079.2,11085,16350,26160900
30-01-2018 11:24:00,11085,11085,11079.9,11080,31050,26160900
30-01-2018 11:25:00,11081,11081,11078.5,11081,27000,26160900
30-01-2018 11:26:00,11081,11084.05,11080.85,11082.1,26325,26201850
