1884,wild-crypto,Wild Crypto,40:27.7,WILD
1885,tao,Tao,40:27.7,XTO
1886,universal-currency,Universal Currency,40:27.7,UNIT
1887,ufo-coin,Ufo Coin,40:27.7,UFO
1888,flypme,Flypme,40:27.7,FYP
1889,intensecoin,Intensecoin,40:27.7,ITNS
1890,nvo,Nvo,40:27.7,NVST
1891,veriumreserve,Veriumreserve,40:27.7,VRM
1892,blockpool,Blockpool,40:27.7,BPL
1893,breakout,Breakout,40:27.7,BRK
1894,1337coin,1337coin,40:27.7,1337
1895,kilocoin,Kilocoin,40:27.7,KLC
1896,novacoin,Novacoin,40:27.7,NVC
1897,synergy,Synergy,40:27.7,SNRG
1898,bitcoin-plus,Bitcoin Plus,40:27.7,XBC
1899,syndicate,Syndicate,40:27.7,SYNX
1900,b2bx,B2bx,40:27.7,B2B
1901,the-champcoin,The Champcoin,40:27.7,TCC
1902,bitcloud,Bitcloud,40:27.7,BTDX
1903,blitzcash,Blitzcash,40:27.7,BLITZ
1904,royal-kingdom-coin,Royal Kingdom Coin,40:27.7,RKC
1905,korecoin,Korecoin,40:27.7,KORE
1906,goldcoin,Goldcoin,40:27.7,GLD
1907,bowhead,Bowhead,40:27.7,AHT
1908,auroracoin,Auroracoin,40:27.7,AUR
1909,dnotes,Dnotes,40:27.7,NOTE
1910,hyperstake,Hyperstake,40:27.7,HYP
1911,astro,Astro,40:27.7,ASTRO
1912,dotcoin,Dotcoin,40:27.7,DOT
1913,rupee,Rupee,40:27.7,RUP
1914,startcoin,Startcoin,40:27.7,START
1915,buzzcoin,Buzzcoin,40:27.7,BUZZ
1916,vslice,Vslice,40:27.7,VSL
1917,dcorp,Dcorp,40:27.7,DRP
1918,chaincoin,Chaincoin,40:27.7,CHC
1919,breakout-stake,Breakout Stake,40:27.7,BRX
1920,privatix,Privatix,40:27.7,PRIX
1921,digipulse,Digipulse,40:27.7,DGPT
1922,crowdcoin,Crowdcoin,40:27.7,CRC
1923,masternodecoin,Masternodecoin,40:27.7,MTNC
1924,prospectors-gold,Prospectors Gold,40:27.7,PGL
1925,bitcoinz,Bitcoinz,40:27.7,BTCZ
1926,carboncoin,Carboncoin,40:27.7,CARBON
1927,toacoin,Toacoin,40:27.7,TOA
1928,sharechain,Sharechain,40:27.7,SSS
1929,xgox,Xgox,40:27.7,XGOX
1930,internxt,Internxt,40:27.7,INXT
1931,creativecoin,Creativecoin,40:27.7,CREA
1932,social,Social,40:27.7,SCL
1933,indorse-token,Indorse Token,40:27.7,IND
1934,nubits,Nubits,40:27.7,USNBT
1935,project-decorum,Project Decorum,40:27.7,PDC
